applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"CANADAIR LTD","CANADAIR LTD","0","F41G3/00; F41G9/00","","5","HUVERS MARIUS","F41G3/00; F41G9/00","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","US","United States of America","19750722","US 59813475 A","1975","CA","Canada","1979-11-13","CA 1066093 A","1979","5","Rate Integrating Gyroscopic Aiming Method And Device Therefor","Device Therefor; method; rate Integrating","https://lens.org/183-683-627-764-322"
"CANADAIR LTD","CANADAIR LTD","0","G01C19/38","","4","HUVERS MARIUS","G01C19/38","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","19790504","US 3614779 A","1979","CA","Canada","1983-1-25","CA 1139934 A","1983","4","Gyroscopic Aiming Method And System And Suspension System Therefor","method; Suspension System Therefor; system","https://lens.org/094-690-696-097-50X"
"IDEAL TOY CORP","IDEAL TOY CORP","0","A63H18/12; A63H18/16","","19","COOPER JULIUS; ENSMANN BURT WAYNE","A63H17/38; A63H17/39; A63H18/12; A63H18/16","Sports","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks","","US","United States of America","19790215","US 1254479 A","1979","CA","Canada","1983-4-19","CA 1144754 A","1983","18","Wandering Drone Car","wandering Drone Car","https://lens.org/091-108-736-450-721"
"CBS INC","CBS INC","0","A63H18/12; G09B9/048","","66","BENY JANOS; MOORE JAMES D; RYAN JOHN W","A63H18/12; G09B9/048","Signs, Advertising; Sports","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","US","United States of America","19761206; 19770401","US 74744176 A; US 78383377 A","1976; 1977","CA","Canada","1983-6-21","CA 1148357 A","1983","8","Toy Vehicle And Toy Vehicle Game","toy Vehicle; Toy Vehicle Game","https://lens.org/189-009-276-512-580"
"AEROSPATIALE","AEROSPATIALE","0","G09B9/08; G09B9/54","","7","CHASSAIGNE GEORGES; SAFFORES JEAN R","G09B9/08; G09B9/54","Signs, Advertising","G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","FR","France","19850208","FR 8501843 A","1985","CA","Canada","1988-8-23","CA 1241112 A","1988","7","Simulator, And Installation Comprising Said Simulator, For Tracking And Guiding Drones","Guiding Drones; Installation Comprising; simulator; Tracking","https://lens.org/020-812-972-588-494"
"SCHERING AG","SCHERING AG","0","C07J5/00; Y10S514/825; Y10S514/826; Y10S514/863","","29","KERB ULRICH; KIESLICH KLAUS; KOLB KARL H; PETZOLDT KARL; WIECHERT RUDOLF","A61K31/57; C07C; C07J5/00; C07J7/00","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds; C07J: Chemistry; Metallurgy -> Organic Chemistry -> Steroids","","DE","Germany","19701230","DE 2064859 A","1970","CA","Canada","1974-5-14","CA 947277 A","1974","29","6alpha-fluoro-16alpha,18-dimethyl-delta 1,4-pregnadiene-3,20-diones","6alpha-fluoro-16alpha,18-dimethyl-delta 1,4-pregnadiene-3,20-diones","https://lens.org/065-218-709-225-451"
"","KLING ALBERTO","0","B64C27/20","","31","KLING ALBERTO","B64C11/00; B64C27/10; B64C27/20; F04D29/18","Aircraft; Positive Displacement Machines","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F04D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Positive-Displacement Machines For Liquids; Pumps For Liquids Or Elastic Fluids -> Non-Positive-Displacement Pumps","","US","United States of America","19710929","US 18489171 A","1971","CA","Canada","1975-7-15","CA 971150 A","1975","12","Precessor Flying Craft","precessor Flying Craft","https://lens.org/005-305-515-254-915"
"","KYLE NORMAN A","0","G10D9/023","","2","KYLE NORMAN A","G10D9/02","Musical Instruments","G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","","CA","Canada","19960503","CA 2170420 A","1996","CA","Canada","1997-11-4","CA 2170420 A1","1997","2","Bollet Nose All Plastic Screw In Drone Reed For Bag Pipes","Bag Pipes; bollet Nose; Drone Reed; Plastic Screw","https://lens.org/110-930-245-773-255"
"LFK GMBH","LFK GMBH","0","F41G3/02; F41G3/165; F41G7/2206","","12","ARNOLD MICHAEL; GAUGGEL ROLAND; KRUGER REINHARD; TRANAPP NORBERT","F41G7/22; F42B15/01","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","DE","Germany","19980626","DE 19828644 A","1998","CA","Canada","2000-1-6","CA 2334373 A1","2000","11","Method Of Remote Controlled Combat Of Near-surface And/or Surface-bound Targets","method; Near-surface; Remote Controlled Combat; Surface-bound Targets","https://lens.org/091-325-956-043-766"
"ROSS BAGPIPE REEDS PTY LTD","ROSS BAGPIPE REEDS PTY LTD","0","G10D7/063; G10D9/023","","4","CROZIER ROBERT; ROSS GEOFFREY ALLAN","G10D7/06; G10D9/02","Musical Instruments","G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","","US","United States of America","20011024","US 99962901 A","2001","CA","Canada","2003-4-24","CA 2409008 A1","2003","4","Bagpipe Reed System","bagpipe Reed System","https://lens.org/142-434-307-903-253"
"","BURCHETTE ROBERT L JR","0","G06Q20/341; G06Q20/40145; G07F7/00; G07F7/0866; G07F7/0873; G07F7/0886; G07F7/1008","","17","BURCHETTE ROBERT L JR","G06F21/20; G06F3/08; G06K17/00; G06K19/07; G06K19/10; G07F7/00; G07F7/08; G07F7/10; H04L9/32","Checking Devices; Computing; Electric Communication/Television","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G07F: Physics -> Checking-Devices -> Coin-Freed Or Like Apparatus; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","20011119","US 33303501 P","2001","CA","Canada","2003-5-30","CA 2467540 A1","2003","16","Transaction Card System Having Security Against Unauthorizedusage","Security; transaction Card System; Unauthorizedusage","https://lens.org/039-786-081-958-344"
"SNECMA","SNECMA","0","F01D5/148; F02K1/006; F02K1/28; F02K9/82","","15","BEUTIN BRUNO; FERT JEREMY","F02C9/16; F02K1/28","Combustion Engines","F02C: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Combustion Engines; Hot-Gas Or Combustion-Product Engine Plants -> Gas-Turbine Plants; Air Intakes For Jet-Propulsion Plants; Controlling Fuel Supply In Air-Breathing Jet-Propulsion Plants; F02K: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Combustion Engines; Hot-Gas Or Combustion-Product Engine Plants -> Jet-Propulsion Plants","","FR","France","20050323","FR 0502879 A","2005","CA","Canada","2006-9-23","CA 2540259 A1","2006","15","Gas Stream Deflection System In A Nozzle","gas Stream Deflection System; Nozzle","https://lens.org/083-000-194-866-727"
"POWER MEASUREMENT LTD","POWER MEASUREMENT LTD","0","G01R15/142","","13","FORTH BRADFORD J; GUNN COLIN N; HANCOCK MARTIN A; HYATT GEOFFREY T; LIGHTBODY SIMON H","G01R15/14; G01R31/02","Measuring","G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables","","US","United States of America","20030725; 20040206","US 49031803 P; US 77408804 A","2003; 2004","CA","Canada","2005-2-10","CA 2533807 A1","2005","9","Body Capacitance Electric Body Capacitance Electric Field Powered Device For Hgh Voltage Lines","body Capacitance Electric Body Capacitance Electric Field Powered Device; Hgh Voltage Lines","https://lens.org/010-284-216-840-640"
"","SINANIS JOHN M; SINANIS STYLIANOS M","0","","","1","SINANIS JOHN M","A01K47/04; A01K49/00; A01K51/00; A01M19/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals; A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","US","United States of America","20061114","US 59863606 A","2006","CA","Canada","2008-5-14","CA 2581949 A1","2008","1","Beehive Frame And Comb Foundation","beehive Frame; Comb Foundation","https://lens.org/022-880-499-075-964"
"ELBIT SYSTEMS LTD","ELBIT SYSTEMS LTD","0","F41H11/00; H04B7/18504","","13","ZAHAVI DOV","F41H11/00; H04B7/185","Electric Communication/Television; Weapons","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; H04B: Electricity -> Electric Communication Technique -> Transmission","","IL","Israel","20060907","IL 17794806 A","2006","CA","Canada","2008-3-13","CA 2662299 A1","2008","13","A Method And System For Extending Operational Electronic Range Of A Vehicle","method; Operational Electronic Range; system; Vehicle","https://lens.org/148-042-657-628-39X"
"QUANTA ASSOCIATES LP","QUANTA ASSOCIATES LP","0","G01N21/952","","2","HANNAY RICHARD C","B64D43/00; F17D3/00; F17D5/00; G01M11/08; G01M99/00; G01R31/00; H02G1/02","Aircraft; Generating Electricity; Measuring; Storing Gases/Liquids; Testing","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F17D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Storing Or Distributing Gases Or Liquids -> Pipe-Line Systems; Pipe-Lines; G01M: Physics -> Measuring; Testing -> Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For; G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables; H02G: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines","","US","United States of America","20110331","US 201161470252 P","2011","CA","Canada","2012-9-30","CA 2772897 A1","2012","2","Aerial Inspection System(s) And Method(s)","aerial Inspection System(s); Method(s)","https://lens.org/198-987-357-557-960"
"","KINNAIRD ROBERT","0","G10D9/023","","4","KINNAIRD ROBERT","G10B3/08","Musical Instruments","G10B: Physics -> Musical Instruments; Acoustics -> Organs, Harmoniums Or Like Musical Instruments With Associated Blowing Apparatus","","CA","Canada","20130508","CA 2815303 A","2013","CA","Canada","2013-7-18","CA 2815303 A1","2013","4","Bagpipe Drone Reed","bagpipe Drone Reed","https://lens.org/042-917-419-354-149"
"BIOSPHERE AEROSPACE LLC","BIOSPHERE AEROSPACE LLC","0","B64C1/00; B64C1/061; B64C1/065; B64C1/10; B64C2001/0072; B64C2201/021; B64C2201/048; B64C2201/086; B64C2201/104; B64C2201/128; B64C2201/162; B64C2201/167; B64C39/02; B64C39/024; Y02T50/433","","27","HELOU ELIE JR","B64C1/22; B64C39/02; B64D9/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","US","United States of America","20041123","US 99679904 A","2004","CA","Canada","2006-8-10","CA 2842211 A1","2006","16","Cargo Aircraft","cargo Aircraft","https://lens.org/170-866-780-544-684"
"","SING ROBERT L","0","B64C2201/021; B64C2201/048; B64C2201/084; B64C2201/104; B64C2201/128; B64C2201/145; B64C2201/187; B64C39/024; B64D9/00","","6","SING ROBERT L","B64C13/18; B64D45/00; B64D9/00; B64F1/22; B64F1/28","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","US","United States of America","20110617","US 2011 0040981 W","2011","CA","Canada","2012-12-20","CA 2839581 A1","2012","6","Self-sustaining Drone Aircraft Freight And Observation System","Observation System; self-sustaining Drone Aircraft Freight","https://lens.org/123-150-222-449-473"
"CGG SERVICES SA","CGG SERVICES SA","0","G01V1/168; G01V1/20; G01V1/24","","5","BIANCHI THOMAS; GRIMSDALE JONATHAN; POSTEL JEAN-JACQUES","G01V1/16","Geophysics","G01V: Physics -> Measuring; Testing -> Geophysics; Gravitational Measurements; Detecting Masses Or Objects; Tags","","US","United States of America","20130410","US 201361810403 P","2013","CA","Canada","2014-10-16","CA 2908563 A1","2014","5","Drone Seismic Sensing Method And Apparatus","Apparatus; drone Seismic Sensing Method","https://lens.org/181-331-132-258-901"
"","FERNANDES ROOSEVELT A","0","G01R15/14; G05D1/0038; H02G1/02","","2","FERNANDES ROOSEVELT A","G01R15/14; G05D1/00; H02G1/02","Control Systems; Generating Electricity; Measuring","G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; H02G: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines","","CA; US","Canada; United States of America","19870911; 19890321","CA 594383 A; US 9515287 A","1987; 1989","CA","Canada","1994-3-22","CA 1328009 C","1994","2","Monitoring System For Power Lines And Right-of-way Using Remotely Piloted Drone","Drone; Power Lines; Right-of-way; system","https://lens.org/040-831-729-601-854"
"BEIJING TECHNOLOGY UNIV","BEIJING TECHNOLOGY UNIV","0","","","2","ZHANG XUSHENG ZHOU","G01M11/00; H04N5/335; H04N5/341; H04N5/369; H04N5/3745","Electric Communication/Television; Testing","G01M: Physics -> Measuring; Testing -> Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","CN","China","20070130","CN 200710063161 A","2007","CN","China","2007-8-29","CN 101025382 A","2007","2","Random Pattern Measuring Method For Statistic Modulation Transfer Function","method; random Pattern; Statistic Modulation Transfer Function","https://lens.org/004-558-783-430-03X"
"UNIV BEI HANG","UNIV BEI HANG","7","G06K2209/40; G06K9/209; G06T2207/10012; G06T7/002; G06T7/0075","","4","ZHANG GUANGJUN SUN","G01B11/24; G01C11/04; G01C11/36","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","20070530","CN 200710099771 A","2007","CN","China","2007-10-17","CN 101055177 A","2007","4","Double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method","double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method","https://lens.org/160-332-802-111-013"
"ZHUHAI XINGYU MODEL IND CO LTD","ZHUHAI XINGYU MODEL IND CO LTD","5","","","2","FUSHENG ZHANG; WANGXING HE; XIAODONG TAN","B64F1/04","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","CN","China","20060602","CN 200610035763 A","2006","CN","China","2007-12-5","CN 101081638 A","2007","2","Unmanned Aerial Plane Launching System And Method","method; unmanned Aerial Plane Launching System","https://lens.org/101-019-904-282-437"
"ZHUHAI XINGYU MODEL IND CO LTD","ZHUHAI XINGYU MODEL IND CO LTD","2","","","2","FUSHENG ZHANG; WANGXING HE; XIAODONG TAN","B64F1/04","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","CN","China","20060602","CN 200610035764 A","2006","CN","China","2007-12-5","CN 101081639 A","2007","2","Ejecting System Applied For Unmanned Aerial Plane Launching System","system; unmanned Aerial Plane Launching System","https://lens.org/161-615-585-134-193"
"INST RADIATION MED AMMS PLA","INST RADIATION MED AMMS PLA","0","","","1","BO XIAOCHEN; RUXIAN LIN; SHAOKE LOU; SHENGQI WANG","A61K48/00; A61P37/08; A61P43/00; C07H21/04; C12N15/113","Biochemistry; Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07H: Chemistry; Metallurgy -> Organic Chemistry -> Sugars; Derivatives Thereof; Nucleosides; Nucleotides; Nucleic Acids; C12N: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Micro-Organisms Or Enzymes; Compositions Thereof; Propagating, Preserving, Or Maintaining Micro-Organisms; Mutation Or Genetic Engineering; Culture Media","","CN","China","20060712","CN 200610091034 A","2006","CN","China","2008-1-16","CN 101104632 A","2008","1","Antisense Oligonucleotide Using Apoptosis Gene Caspase-4 As Drone And Use Thereof","antisense Oligonucleotide; Apoptosis Gene Caspase-4; Drone; Use","https://lens.org/020-451-654-128-58X"
"UNIV TIANJIN","UNIV TIANJIN","2","","","2","CHANGKU SUN; SHAN CHEN; XIAODONG ZHANG","H04N17/00","Electric Communication/Television","H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","CN","China","20060629","CN 200610014481 A","2006","CN","China","2008-1-2","CN 101098492 A","2008","2","Method For Determining Drone Target Topological Relation And Camera Calibration Target Capable Of Disposing Arbitrarily","Camera Calibration Target; Determining Drone Target Topological Relation; method","https://lens.org/142-282-086-630-422"
